Sin Regularización
epoch: 1000 	 MSE_REG_L1: 0.43172 	 MSE_REG_L2: 0.43172
epoch: 2000 	 MSE_REG_L1: 0.38648 	 MSE_REG_L2: 0.38648
epoch: 3000 	 MSE_REG_L1: 0.34707 	 MSE_REG_L2: 0.34707
epoch: 4000 	 MSE_REG_L1: 0.31271 	 MSE_REG_L2: 0.31271
epoch: 5000 	 MSE_REG_L1: 0.28278 	 MSE_REG_L2: 0.28278
epoch: 6000 	 MSE_REG_L1: 0.25669 	 MSE_REG_L2: 0.25669
epoch: 7000 	 MSE_REG_L1: 0.23395 	 MSE_REG_L2: 0.23395
epoch: 8000 	 MSE_REG_L1: 0.21414 	 MSE_REG_L2: 0.21414
epoch: 9000 	 MSE_REG_L1: 0.19688 	 MSE_REG_L2: 0.19688
epoch: 10000 	 MSE_REG_L1: 0.18183 	 MSE_REG_L2: 0.18183
epoch: 1000 	 MAE_REG_L1: 1.48743 	 MAE_REG_L2: 1.48743
epoch: 2000 	 MAE_REG_L1: 1.33427 	 MAE_REG_L2: 1.33427
epoch: 3000 	 MAE_REG_L1: 1.1894 	 MAE_REG_L2: 1.1894
epoch: 4000 	 MAE_REG_L1: 1.5402 	 MAE_REG_L2: 1.5402
epoch: 5000 	 MAE_REG_L1: 1.67586 	 MAE_REG_L2: 1.67586
epoch: 6000 	 MAE_REG_L1: 1.6261 	 MAE_REG_L2: 1.6261
epoch: 7000 	 MAE_REG_L1: 1.65519 	 MAE_REG_L2: 1.65519
epoch: 8000 	 MAE_REG_L1: 1.63658 	 MAE_REG_L2: 1.63658
epoch: 9000 	 MAE_REG_L1: 1.68907 	 MAE_REG_L2: 1.68907
epoch: 10000 	 MAE_REG_L1: 1.65864 	 MAE_REG_L2: 1.65864

Con Regularización
epoch: 1000 	 MSE_REG_L1: 0.45438 	 MSE_REG_L2: 0.4735
epoch: 2000 	 MSE_REG_L1: 0.41829 	 MSE_REG_L2: 0.4961
epoch: 3000 	 MSE_REG_L1: 0.39035 	 MSE_REG_L2: 0.5598
epoch: 4000 	 MSE_REG_L1: 0.36825 	 MSE_REG_L2: 0.65648
epoch: 5000 	 MSE_REG_L1: 0.34961 	 MSE_REG_L2: 0.77917
epoch: 6000 	 MSE_REG_L1: 0.33395 	 MSE_REG_L2: 0.92197
epoch: 7000 	 MSE_REG_L1: 0.32085 	 MSE_REG_L2: 1.07991
epoch: 8000 	 MSE_REG_L1: 0.30994 	 MSE_REG_L2: 1.24881
epoch: 9000 	 MSE_REG_L1: 0.3009 	 MSE_REG_L2: 1.42519
epoch: 10000 	 MSE_REG_L1: 0.29346 	 MSE_REG_L2: 1.60615
epoch: 1000 	 MAE_REG_L1: 1.5695 	 MAE_REG_L2: 1.59996
epoch: 2000 	 MAE_REG_L1: 1.47815 	 MAE_REG_L2: 1.59807
epoch: 3000 	 MAE_REG_L1: 1.42831 	 MAE_REG_L2: 1.63355
epoch: 4000 	 MAE_REG_L1: 1.38483 	 MAE_REG_L2: 1.682
epoch: 5000 	 MAE_REG_L1: 1.34412 	 MAE_REG_L2: 1.74556
epoch: 6000 	 MAE_REG_L1: 1.30579 	 MAE_REG_L2: 1.82254
epoch: 7000 	 MAE_REG_L1: 1.26727 	 MAE_REG_L2: 1.91514
epoch: 8000 	 MAE_REG_L1: 1.24398 	 MAE_REG_L2: 2.03484
epoch: 9000 	 MAE_REG_L1: 1.21145 	 MAE_REG_L2: 2.14157
epoch: 10000 	 MAE_REG_L1: 1.29661 	 MAE_REG_L2: 2.34288
